,Location,Average Salary by Location ($CLP),Occupation,Average Salary for Each Occupation by Location($CLP),Average National Salary for Each Occupation ($CLP)
223,"Orland (West & Central), Palos & Lemont Townships PUMA, IL",117254370.87034604,Administrative services managers,1112325799.2328768,131795030.32110028
224,"LA City (Central/Hancock Park & Mid-Wilshire) PUMA, CA",117158573.4695541,"Miscellaneous community & social service specialists, including health educators & community health workers",1157392437.8507462,72629627.09523305
225,"Maple Valley, Covington & Enumclaw Cities PUMA, WA",117108890.8275206,Other healthcare practitioners & technical Occupations,811519052.90625,102784320.21048814
226,"Houston City (Far Northeast) PUMA, TX",116941798.60741672,"Firstline supervisors of mechanics, installers, & repairers",813880587.4909091,112062769.09033076
227,"Irving (North), Coppell & Carrollton (Southwest) Cities PUMA, TX",116924142.4416916,Advertising sales agents,628792612.2519685,119342434.38657989
228,"Ridgewood, Glendale & Middle Village PUMA, NY",116869497.33281255,Dentists,1351998168.0,258225172.68799314
229,"Framingham Town, Marlborough City & Natick Town PUMA, MA",116867360.83598812,"Securities, commodities, & financial services sales agents",727211187.9,235476111.74532747
230,"Middlesex County (Southeast) PUMA, NJ",116866670.5533511,Financial analysts,1304883236.3243244,201459377.03718996
231,"West Chester Borough PUMA, PA",116755446.23573837,Physicians,995562359.5770925,418213885.2623563
232,"Delaware County (West) PUMA, PA",116671847.11149295,Physicians,684751709.2727273,418213885.2623563
233,"West Ridge, Lincoln Square & North Center PUMA, IL",116615391.9877232,Other financial clerks,1112325879.3253012,154601498.81592458
234,"Columbia (East), Ellicott City (Southeast) & Elkridge PUMA, MD",116451854.44934687,Facilities managers,537162379.0588236,127859883.49580576
235,"Suffolk County (East) PUMA, NY",116405286.81494316,"Agents & business managers of artists, performers, & athletes",716968704.8495575,105882405.4235695
236,"Washtenaw County (West, Northeast & Southeast) PUMA, MI",116294140.5318363,Electrical powerline installers & repairers,874701879.4615386,132427637.0014905
237,"Miami City (East) & Key Biscayne Village PUMA, FL",116243180.57968971,"News analysts, reporters, and journalists",975077552.4,111634981.52974543
238,"Broadview Heights, North Royalton & Strongsville Cities PUMA, OH",116035422.19234549,Biomedical & agricultural engineers,884944318.4415585,158851439.63818172
239,"Bay Ridge & Dyker Heights PUMA, NY",116019912.61379047,Loan interviewers & clerks,1351998168.0,83532460.3588226
240,"Dallas (West Central), University Park Cities & Highland Park Town PUMA, TX",115955965.25551493,"Securities, commodities, & financial services sales agents",718728728.4507042,235476111.74532747
241,"San Jose (Northwest) & Santa Clara Cities PUMA, CA",115918127.84063207,Surgeons,1157392390.4810128,571660495.1726127
242,"Fairland, Calverton, White Oak & Burtonsville PUMA, MD",115749864.60803711,Dentists,1028338046.9473685,258225172.68799314
243,"Delaware County PUMA, OH",115746277.70880216,Sales engineers,884944302.6857142,219954122.53236544
244,"Brentwood & Oakley Cities PUMA, CA",115706149.92902212,Sales engineers,532605367.8113207,219954122.53236544
245,"East Harlem PUMA, NY",115667956.08585298,Surgeons,1351998168.0,571660495.1726127
246,"Champlin, Rogers Cities & Lake Minnetonka PUMA, MN",115577257.50389633,Physician assistants,997610829.5238097,186531725.38923976
247,"Capitol Hill PUMA, WA",115539332.89304942,Cost estimators,810487835.6891192,119224414.19934453
248,"Brookhaven Town (North) PUMA, NY",115486816.03774086,Surgeons,1053505087.8571428,571660495.1726127
249,"Fulton County (East)Atlanta City (Southeast) PUMA, GA",115470017.59594347,Magnetic resonance imaging technologists,964835082.5142857,203515513.71080974
250,"Kane County (West) PUMA, IL",115448482.57021055,Purchasing managers,831252844.2135923,149654481.25975567
251,"Milton Township PUMA, IL",114827730.5798452,Personal financial advisors,707407758.3347108,224327492.92839324
252,"Oakland County (Northeast) PUMA, MI",114818916.83017485,Purchasing managers,874701857.8144331,149654481.25975567
253,"Colorado Springs City (North) & Monument Town PUMA, CO",114807663.92821425,Commercial and industrial designers,1020144108.2416106,130763700.39902832
254,"Frederick County (Outside Greater Frederick City) PUMA, MD",114703093.03171256,Other financial specialists,1028338012.9315069,198319233.27190593
255,"Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA, TX",114664086.51899241,"Lawyers, & judges, magistrates, & other judicial workers",958689660.1318681,251695543.47547695
256,"Amesbury Town City PUMA, MA",114651812.40928923,Physicians,818414945.3065327,418213885.2623563
257,"Edmond & Oklahoma City (North Central) Cities PUMA, OK",114595812.41034244,"Other engineering technologists and technicians, except drafters",846023166.5,101881048.26636182
258,"Willow Grove, Horsham & Montgomeryville PUMA, PA",114563466.09865697,Physicians,995562322.0666668,418213885.2623563
259,"Takoma Park City & Silver Spring PUMA, MD",114483500.53107637,"Entertainers & performers, sports & related workers, all other",553090173.3421053,42393760.815470114
260,"Sunnyside & Woodside PUMA, NY",114477674.63702844,Coaches and scouts,768180769.92,46725549.10808012
261,"Maine, Norwood Park Townships & Chicago CityEdison Park PUMA, IL",114464462.39443558,Information security analysts,1112325879.3253012,200694182.4692968
262,"Castro Valley, San Lorenzo & Ashland PUMA, CA",114337696.84806024,Aircraft mechanics & service technicians,1157392425.5555556,100729447.02662206
263,"Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA, NJ",114303247.16409566,Correspondence clerks & order clerks,645271873.3333335,51512220.31689897
264,"Frankfort, Homer & New Lenox (North) Townships PUMA, IL",114290686.0109645,Dental hygienists,1112325780.5070422,92618252.91200672
265,"Woburn, Melrose Cities, Saugus, Wakefield & Stoneham Towns PUMA, MA",114207306.93948443,Market research analysts & marketing specialists,972572340.7643312,136965985.46571857
266,"Castle Rock Town PUMA, CO",114191024.95800604,Surgeons,1020144128.6956521,571660495.1726127
267,"Lake Forest, Irvine (North) Cities & Silverado PUMA, CA",114133101.49922983,Physician assistants,1157392452.1290324,186531725.38923976
268,"Norristown Borough PUMA, PA",114095709.81322259,Market research analysts & marketing specialists,622226463.578125,136965985.46571857
269,"Columbus (Far Northwest), Dublin & Hilliard (North) Cities PUMA, OH",114005604.81095593,Surgeons,884944322.4303797,571660495.1726127
270,"Dorchester & South Boston PUMA, MA",113875186.38349672,Chief executives & legislators,652472269.815,285675917.3191395
271,"Troy & Rochester Area PUMA, MI",113839597.26000644,Nuclear medicine technologists and medical dosimetrists,874701884.4255319,268817089.05138195
272,"Cobb County (Northeast) PUMA, GA",113822285.04039985,Diagnostic medical sonographers,964835105.2727273,149349949.37101868
273,"Richmond (North), Hercules & El Cerrito Cites PUMA, CA",113754183.61685166,Compensation & benefits managers,1157392427.281106,159691261.37330705
274,"Corona City (South), Woodcrest & Home Gardens PUMA, CA",113705785.16969623,Surgeons,1157392402.2295084,571660495.1726127
275,"Bel Air Town, Fallston & Jarrettsville PUMA, MD",113666715.52879468,"Wholesale & retail buyers, except farm products",1028338012.9315069,69111840.30689749
276,"Waukesha County (West) PUMA, WI",113650334.64092298,Financial analysts,899283680.2702703,201459377.03718996
277,"Hartford County (North) PUMA, CT",113519404.68518807,Actuaries,1470810139.1111112,265049587.04010835
278,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA, CT",113503741.39712793,Natural sciences managers,819392846.4424778,175998132.0858239
279,"Tomball City & The Woodlands (Southwest) PUMA, TX",113368460.94505222,Real estate brokers & sales agents,639970763.5236486,86949545.40354295
280,"North Plainfield & Somerville Boroughs PUMA, NJ",113354725.13449948,Other financial specialists,491635735.74999994,198319233.27190593
281,"District of Columbia (North) PUMA, DC",113192075.65826567,Sales managers,645862211.221902,215569207.83716124
282,"East Orange City PUMA, NJ",113060950.72806655,Surgeons,1304883160.8571427,571660495.1726127
283,"Coatesville City PUMA, PA",113039422.06194979,"Plumbers, pipefitters, and steamfitters",995562344.5333333,86579732.62869428
284,"South of I-635 & West of US-75 PUMA, TX",113031443.82055159,Surgeons,958689658.5217391,571660495.1726127
285,"Louisville/Jefferson County (Northeast) PUMA, KY",113023033.02381845,Surgeons,815295899.6666667,571660495.1726127
286,"Elk Grove & Wheeling (Southwest) Townships PUMA, IL",112927563.91821423,Human resources managers,735218855.4155844,146374673.5856089
287,"Plymouth County (Central) PUMA, MA",112877195.987497,Aircraft pilots & flight engineers,721151043.275,233771261.06901407
288,"North Richland Hills (North) & Keller Cities PUMA, TX",112861202.19604163,"Transportation, storage, & distribution managers",958689653.8947368,108572686.59123921
289,"Bowie City, Kettering, Largo, Mitchellville & Lanham PUMA, MD",112836529.60199547,"Pressers, textile, garment, & related materials",1028338001.4339622,32742893.048618693
290,"Mercer County (South) PUMA, NJ",112806388.82329136,Magnetic resonance imaging technologists,1304883209.0,203515513.71080974
291,"Orange & Villa Park Cities PUMA, CA",112783737.09367703,Sales managers,1157392463.0,215569207.83716124
292,"Long Branch, Asbury Park Cities & Eatontown Borough PUMA, NJ",112770410.17450206,Insurance sales agents,1304883171.5555556,108894176.09057176
293,"Middlesex County PUMA, CT",112710357.65602636,Other psychologists,641174931.2941176,108305381.82361618
294,"Worcester County (East Central) PUMA, MA",112634697.57143113,Diagnostic medical sonographers,1270058868.9056604,149349949.37101868
295,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA, CT",112616725.482041,Other financial clerks,607602553.9375,154601498.81592458
296,"North of I-10 & Inside Loop I-610 PUMA, TX",112520658.60100794,Human resources managers,958689693.4615386,146374673.5856089
297,"Chester County (South) PUMA, PA",112379240.94784637,Natural sciences managers,995562392.923077,175998132.0858239
298,"San Antonio City (Far North) & Timberwood Park PUMA, TX",112364047.39171095,"Legal support workers, all other",958689646.8000001,104844134.74981996
299,"Naperville & Winfield (South) Townships PUMA, IL",112351190.59652302,Personal financial advisors,1112325790.0,224327492.92839324
300,"Hawthorne Borough & Clifton City (Northwest) PUMA, NJ",112329795.54764344,Civil engineers,1304883171.5555556,158104345.4689587
301,"Huntersville, Cornelius & Davidson Towns PUMA, NC",112272158.4258174,"Agents & business managers of artists, performers, & athletes",846023116.9411764,105882405.4235695
302,"Shakopee, Savage & Prior Lake Cities PUMA, MN",112221815.57931195,Physicians,563332608.3210702,418213885.2623563
303,"Gilbert (South) & Queen Creek Towns PUMA, AZ",112211679.8584499,Cardiovascular technologists and technicians,843974664.7017543,155301057.0999721
304,"Roseville City PUMA, CA",112139727.57143246,Physicians,781063846.875,418213885.2623563
305,"Boone & Hamilton (Northwest) Counties PUMA, IN",112120130.3319906,Coaches and scouts,843974644.6,46725549.10808012
306,"Midland CountyMidland City PUMA, TX",112043299.58175164,Physicians,958689689.3684211,418213885.2623563
307,"St. Louis County (Central West) PUMA, MO",111961028.50660683,Physicians,707306833.6649446,418213885.2623563
308,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA, MA",111959536.33065139,Firstline supervisors of police & detectives,553090169.1606218,146626147.25385883
309,"Carlsbad City PUMA, CA",111936235.38824356,Insurance sales agents,593755233.724907,108894176.09057176
310,"Chandler City (South) PUMA, AZ",111932324.29692413,Credit counselors & loan officers,493864694.94713646,137235832.17932606
311,"Middlesex County (Outside Lowell City) PUMA, MA",111915517.35127206,"Securities, commodities, & financial services sales agents",739698482.3835615,235476111.74532747
312,"Hackensack & Englewood (West) Cities PUMA, NJ",111799314.48867002,Compensation & benefits managers,1304883130.5205479,159691261.37330705
313,"Edmonds, Lynnwood & Mountlake Terrace Cities PUMA, WA",111690567.00244612,Advertising sales agents,1067259272.5384614,119342434.38657989
314,"Wheaton, Aspen Hill & Glenmont PUMA, MD",111685228.476845,"Media and communication workers, all other",1028338048.864865,92483200.48295082
315,"Forsyth County PUMA, GA",111676517.63541222,Aerospace engineers,964835093.0181818,188708334.9702543
316,"Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA, MA",111644423.49001876,Dentists,1270058916.5128205,258225172.68799314
317,"Travis County (West, South & Outside Austin City) PUMA, TX",111554172.2222487,Supervisors of transportation & material moving workers,958689680.5,93376850.9302595
318,"Parker Town & The Pinery PUMA, CO",111539270.50547695,Credit analysts,1020144122.5263158,131523613.18935926
319,"Levittown PUMA, PA",111538345.24285167,"Architects, except landscape and naval",512120515.5744681,157537300.90291384
320,"Scottsdale City (Southeast) & Fountain Hills Town PUMA, AZ",111531773.91619806,Nuclear medicine technologists and medical dosimetrists,843974617.9534883,268817089.05138195
321,"Meriden, Wallingford & North Haven Towns PUMA, CT",111525557.92319782,"Entertainers & performers, sports & related workers, all other",1470810062.6938775,42393760.815470114
322,"Allen, Murphy, Plano (East) & Parker Cities PUMA, TX",111463851.95463517,Veterinarians,958689629.2173914,171603331.8240765
323,"West Jordan (West), Herriman & South Jordan (West) Cities PUMA, UT",111403660.95908166,Surgeons,860362542.797688,571660495.1726127
324,"Ascension Parish PUMA, LA",111317313.37178612,Personal financial advisors,794811031.5505618,224327492.92839324
325,"West Des Moines & Urbandale Cities PUMA, IA",111285098.48621182,Dentists,827586806.4,258225172.68799314
326,"Yorba Linda, La Habra & Brea Cities PUMA, CA",111231764.36980864,Adhesive bonding machine operators & tenders,1157392472.1081083,52122941.6197617
327,"Huntington Beach City PUMA, CA",111199598.52332553,Property appraisers and assessors,673482670.137931,97989158.45697127
328,"Franklin Park Borough & Allison Park PUMA, PA",111189288.23874718,Diagnostic medical sonographers,995562311.205298,149349949.37101868
329,"Montgomery County (Southeast) PUMA, TX",111083515.71373117,"Petroleum, mining & geological engineers, including mining safety engineers",683386416.5604395,246614991.21165854
