,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
1070,"Jefferson Parish (West Bank) PUMA, LA",38290.597816296126,Chief executives & legislators,200658.1049822064,141283.83645852594,5.011073791283458
1433,"Moreno Valley City PUMA, CA",38283.18984563519,Advertising sales agents,243143.28125,59021.9754631948,5.15601686207333
893,"Hancock & Putnam Counties PUMA, OH",38270.88605774942,Counter & rental clerks,437657.9,21224.121135503043,5.02543346216091
289,"Campbell, Goshen, Platte, Johnson, Washakie, Weston, Crook & Niobrara Counties PUMA, WY",38256.479852544595,Physicians,285440.8269794721,206831.79290917717,4.779158027201416
247,"Brown, Lyon, Redwood, Chippewa, Yellow Medicine, Lac qui Parle & Lincoln Counties PUMA, MN",38254.00288295011,Surgeons,493378.3333333333,282720.32402206364,5.104443469157248
974,"Houston City (North)I-45, Between Beltway TX-8 & FM-1960 PUMA, TX",38238.31631134406,Architectural & engineering managers,474129.41353383457,134098.2588754237,4.6812430315608475
819,"Grand Rapids City Area PUMA, MI",38234.384913162736,Tax preparers,432592.406504065,29580.191946286617,5.095868019115926
2063,"St. Francois, Washington, Perry & Ste. Genevieve Counties PUMA, MO",38234.046935654296,Detectives & criminal investigators,421448.347826087,69472.63203857554,4.708154412021746
1889,"San Diego City (Central/Mid-City) PUMA, CA",38225.462434931665,Chief executives & legislators,423287.2605042017,141283.83645852594,5.108011825698932
459,"Columbia City PUMA, SC",38220.509311620764,"Other education, training, & library workers",426513.85365853657,37658.63625455013,5.198492851784469
720,"Floyd, Harrison & Washington Counties PUMA, IN",38217.636351631314,Physicians,307648.1175213675,206831.79290917717,5.179299642712701
243,"Brooklyn, Parma, Parma Heights & Seven Hills Cities PUMA, OH",38217.26846200578,"Lawyers, & judges, magistrates, & other judicial workers",145885.96932515336,124478.50814810928,5.2021991846688
1163,"Lafayette Parish (North) PUMA, LA",38211.47793900514,Personal financial advisors,393081.628742515,110943.36940078795,4.585024651373775
1189,"Lancaster, Chesterfield & Marlboro Counties PUMA, SC",38205.59555657935,Facilities managers,426513.8320610687,63234.3637466893,5.004155904881541
1004,"Indian River County PUMA, FL",38200.800502533624,Physicians,349711.0462809917,206831.79290917717,4.755124840392458
2244,"Warren, Jasper, Marion, Dallas (West) & Madison Counties PUMA, IA",38198.156167650115,Other financial specialists,409291.2,98080.72862112064,5.168568227752095
1452,"Muscogee & Chattahoochee Counties PUMA, GA",38189.02552962489,Surgeons,477168.6923076923,282720.32402206364,5.044578361169726
382,"Chesapeake City (Northeast) PUMA, VA",38182.93605209173,Industrial production managers,151964.54421768707,77305.98243070339,5.016722594529119
2201,"Twin Falls City PUMA, ID",38160.02702242978,Personal financial advisors,401186.4054054054,110943.36940078795,4.701592849720421
102,"Bakersfield City (Northeast) PUMA, CA",38149.50267912074,Software developers,227946.82352941175,105223.46968687043,4.7738313232253615
1471,"Nevada & Sierra Counties PUMA, CA",38144.84467247176,Sales managers,192488.44444444444,106611.873312147,4.735656314462312
1093,"Kankakee County PUMA, IL",38143.160685581664,Physicians,303929.0909090909,206831.79290917717,4.945314001929126
566,"Des Moines City PUMA, IA",38121.4577605185,"Miscellaneous transportation workers, including bridge & lock tenders & traffic technicians",409291.1932773109,36419.37091583332,5.101369707854908
1827,"Robertson, Dickson, Cheatham & Hickman Counties PUMA, TN",38120.59317143338,Dentists,445762.7037037037,127707.80053807772,5.260133213154768
1135,"LA City (East Central/Central City & Boyle Heights) PUMA, CA",38115.52065383117,Accountants & auditors,174123.453180212,62325.81180323831,5.125474720161641
714,"Flagstaff City PUMA, AZ",38102.82310266117,"Geoscientists and hydrologists, except geographers",417395.9669421488,87151.5303347076,4.97557297345609
1701,"Phoenix City (Northwest Central) PUMA, AZ",38094.77599186891,Chief executives & legislators,417395.9518072289,141283.83645852594,4.941078617762257
